BUG ID,Severity,Area,Status,Env,Steps,Expected,Actual,Screenshot,Repro,Notes
AUDIT-COOKIE-DLG-1,Low,ux,LIVE-CONFIRMED-PROD,deploy vercel,"Engineer /staff/session/[id] (and other pages)","Cookie modal dismissable / non-intrusive","Cookie-consent 'We value your privacy' modal present + un-dismissed, BLOCKING the center of the live engineer session view. Visually confirmed.",qa/screens/flow3-engineer-session.png,always,"Upgraded from unverified. Modal overlays the engineer session workspace; a real engineer must dismiss it to see the session. (Double-stack not reconfirmed; single intrusive modal confirmed.)"
A2P-1,High,realtime,LIVE-CONFIRMED-PROD-2PARTY,deploy vercel,"Two-party: customer 'Connect to a Relay engineer' -> Pick your engineer -> Connect to gtlengineer -> engineer Accepts -> both live -> engineer clicks 'Start a Zoom meeting'",Customer join button enables when engineer starts the call,"Engineer goes 'on call' but CUSTOMER join button stays DISABLED 'Waiting for your engineer to start the call' for 30s+. Customer cannot join. guest_calls?id/customer_user_id both return [] for this directed-connect session (chat crosses via a different guest_call_id keying) -> the room's call-join gating (guest_calls fields + 'Zoom meeting started' system string, R2/P1-6) never fires for this session model.",qa/screens/flow2-customer-callstarted.png;qa/screens/flow3-engineer-oncall.png,always,"NEW. Directed 'Pick your engineer->Connect' path uses a different session model than guest_calls/intake; chat keying != call-gating keying. Contrast: a guest_calls-backed session DID show the join button enabled. Links R2/P1-6."
A2P-2,Low,ux,LIVE-CONFIRMED-PROD,deploy vercel,"Connect wizard Q3 -> select urgency","Disabled CTA explains why","'Find my engineer ->' stays disabled with NO error/asterisk/hint until the required project-name field (placeholder 'e.g. ATLAS Project...') is filled. Looked like a dead-end.",—,always,"NEW. Cousin of AUDIT-STARTCALL-NOOP-1. Silent-disabled CTA on empty required field."
PROC-TOKEN-LEAK-1,Info,process,SELF-REPORTED,n/a,"run_code_unsafe (filename AND inline) echoes the code into the transcript","Cookie injector code not echoed","2nd-context cookie injectors leaked the gtlengineer AND gtlsupervisor session JWTs + refresh tokens + temp_passwords into the transcript (2 injections). Throwaway QA accts; ~1h token expiry; global sign-out 401/best-effort.",—,n/a,"Process note, not an app bug. MITIGATION: rotate BOTH gtlengineer + gtlsupervisor QA passwords. run_code_unsafe always echoes its code -> never embed secrets."
A2P-3,Low,ux,LIVE-CONFIRMED-PROD,deploy vercel,"Customer room sidebar -> 'Request a Quote'",Quote request form/modal opens,"No visible response (no modal/pane/nav); no project_quote_requests row produced -> supervisor /bids queue stays empty. Quote->bid->contract chain not exercisable.",qa/screens/flow5-bids.png,always,"NEW. Producer-side gap, cousin of AUDIT-STARTCALL-NOOP-1/A2P-2. May require project selection first."
FLOW8-STRIPE-TESTMODE,Pass,payments,LIVE-CONFIRMED-PROD,deploy vercel,"/account -> Recharge -> Continue with EUR50",Stripe test-mode checkout,"Recharge tiers (Start free/EUR50/100/200) -> Stripe.js loads with apiKey pk_test_<redacted>... (TEST mode). Payment NOT completed (no charge).",qa/screens/flow8-recharge.png,always,"POSITIVE. Confirms Stripe test mode on prod + checkout entry. Full pay->credit->resume not run (avoid real charge)."
E2E-CLEANUP-1,Medium,e2e,KNOWN-CONFIRMED,dev 10.0.1.112,Login client -> /room,No stale session for a fresh login,"QA customer account carries a stale LIVE 'paid' session (00:34, 'Luca joined as engineer') from prior testing.",qa/screens/client-room.png,n/a,"KNOWN ID — cross-reference only, NOT re-filed. Confirms stale-session-not-cleaned. Did NOT end it (mutation avoided)."
SEC-AUTH-12,Pass,auth,VERIFIED-DEAD,deploy vercel,"GET /api/dev/sign-in-as, POST /api/test/auth on relay-green-471i.vercel.app",403/dead on deploy,"403 on both (dev backdoors dead on deploy). Open on dev target = expected.",—,always,"KNOWN ID. Verified PASS on deploy. Not a finding."
AUDIT-GUEST-ERRLEAK-1,Low,ux,LIVE-CONFIRMED,dev 10.0.1.112,"Home / -> Try Relay funnel -> Find my engineer when /api/online-engineers fails",User-friendly 'no engineers' copy,"Match modal renders raw fetch error into guest-facing copy: 'No engineers online right now. (Failed to fetch)'. Developer error text surfaced to end user.",qa/screens/flow-1-match-no-engineers.png,always,"NEW. Found by flow agent before dev-server outage. Cosmetic info-leak."
ENV-DEVSERVER-DOWN,Blocker(env),infra,ENVIRONMENTAL,dev 10.0.1.112,"npm run dev at 10.0.1.112:3000 mid-Phase-2-flows",Server stays up,"Server stopped answering ~4min into flow run: Supabase-calling API routes (/api/online-engineers, /api/supabase/auth/v1/signup) timed out (ERR_CONNECTION_TIMED_OUT) while static pages still served, then whole port went unreachable (curl 000). Not recovered. Needs operator restart.",—,n/a,"ENVIRONMENTAL not app bug. Blocks Flows 2-8 + 2-party realtime. Re-run needs: (1) server restart, (2) engineer online first, (3) grant browser_tabs perm for 2 contexts."
